date,month_name,year,division_name,index,summary
2024-07-01,July,2024,Alcoholic Beverages & Tobacco,,"On July 2024, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2024-08-01,August,2024,Alcoholic Beverages & Tobacco,,"On August 2024, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2024-09-01,September,2024,Alcoholic Beverages & Tobacco,,"On September 2024, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2024-10-01,October,2024,Alcoholic Beverages & Tobacco,,"On October 2024, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2024-11-01,November,2024,Alcoholic Beverages & Tobacco,,"On November 2024, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2024-12-01,December,2024,Alcoholic Beverages & Tobacco,,"On December 2024, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2025-01-01,January,2025,Alcoholic Beverages & Tobacco,,"On January 2025, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2025-02-01,February,2025,Alcoholic Beverages & Tobacco,,"On February 2025, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2025-03-01,March,2025,Alcoholic Beverages & Tobacco,,"On March 2025, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2025-04-01,April,2025,Alcoholic Beverages & Tobacco,,"On April 2025, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2025-05-01,May,2025,Alcoholic Beverages & Tobacco,,"On May 2025, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2025-06-01,June,2025,Alcoholic Beverages & Tobacco,,"On June 2025, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2025-07-01,July,2025,Alcoholic Beverages & Tobacco,,"On July 2025, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2025-08-01,August,2025,Alcoholic Beverages & Tobacco,,"On August 2025, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-01-01,January,2018,Clothing and Footwear,98.0,"On January 2018, the Core CPI for Clothing and Footwear was 98.0."
2018-02-01,February,2018,Clothing and Footwear,97.8,"On February 2018, the Core CPI for Clothing and Footwear was 97.8."
2018-03-01,March,2018,Clothing and Footwear,97.7,"On March 2018, the Core CPI for Clothing and Footwear was 97.7."
2018-04-01,April,2018,Clothing and Footwear,97.8,"On April 2018, the Core CPI for Clothing and Footwear was 97.8."
2018-05-01,May,2018,Clothing and Footwear,97.7,"On May 2018, the Core CPI for Clothing and Footwear was 97.7."
2018-06-01,June,2018,Clothing and Footwear,95.2,"On June 2018, the Core CPI for Clothing and Footwear was 95.2."
2018-07-01,July,2018,Clothing and Footwear,95.1,"On July 2018, the Core CPI for Clothing and Footwear was 95.1."
2018-08-01,August,2018,Clothing and Footwear,95.1,"On August 2018, the Core CPI for Clothing and Footwear was 95.1."
2018-09-01,September,2018,Clothing and Footwear,95.0,"On September 2018, the Core CPI for Clothing and Footwear was 95.0."
2018-10-01,October,2018,Clothing and Footwear,95.0,"On October 2018, the Core CPI for Clothing and Footwear was 95.0."
2018-11-01,November,2018,Clothing and Footwear,94.9,"On November 2018, the Core CPI for Clothing and Footwear was 94.9."
2018-12-01,December,2018,Clothing and Footwear,94.7,"On December 2018, the Core CPI for Clothing and Footwear was 94.7."
2019-01-01,January,2019,Clothing and Footwear,94.8,"On January 2019, the Core CPI for Clothing and Footwear was 94.8."
2019-02-01,February,2019,Clothing and Footwear,94.7,"On February 2019, the Core CPI for Clothing and Footwear was 94.7."
2019-03-01,March,2019,Clothing and Footwear,94.8,"On March 2019, the Core CPI for Clothing and Footwear was 94.8."
2019-04-01,April,2019,Clothing and Footwear,94.7,"On April 2019, the Core CPI for Clothing and Footwear was 94.7."
2019-05-01,May,2019,Clothing and Footwear,94.6,"On May 2019, the Core CPI for Clothing and Footwear was 94.6."
2019-06-01,June,2019,Clothing and Footwear,94.5,"On June 2019, the Core CPI for Clothing and Footwear was 94.5."
2019-07-01,July,2019,Clothing and Footwear,94.1,"On July 2019, the Core CPI for Clothing and Footwear was 94.1."
2019-08-01,August,2019,Clothing and Footwear,94.1,"On August 2019, the Core CPI for Clothing and Footwear was 94.1."
2019-09-01,September,2019,Clothing and Footwear,94.1,"On September 2019, the Core CPI for Clothing and Footwear was 94.1."
2019-10-01,October,2019,Clothing and Footwear,93.8,"On October 2019, the Core CPI for Clothing and Footwear was 93.8."
2019-11-01,November,2019,Clothing and Footwear,93.9,"On November 2019, the Core CPI for Clothing and Footwear was 93.9."
2019-12-01,December,2019,Clothing and Footwear,93.8,"On December 2019, the Core CPI for Clothing and Footwear was 93.8."
2020-01-01,January,2020,Clothing and Footwear,93.7,"On January 2020, the Core CPI for Clothing and Footwear was 93.7."
2020-02-01,February,2020,Clothing and Footwear,93.7,"On February 2020, the Core CPI for Clothing and Footwear was 93.7."
2020-03-01,March,2020,Clothing and Footwear,93.6,"On March 2020, the Core CPI for Clothing and Footwear was 93.6."
2020-04-01,April,2020,Clothing and Footwear,93.6,"On April 2020, the Core CPI for Clothing and Footwear was 93.6."
2020-05-01,May,2020,Clothing and Footwear,93.6,"On May 2020, the Core CPI for Clothing and Footwear was 93.6."
2020-06-01,June,2020,Clothing and Footwear,93.5,"On June 2020, the Core CPI for Clothing and Footwear was 93.5."
2020-07-01,July,2020,Clothing and Footwear,93.5,"On July 2020, the Core CPI for Clothing and Footwear was 93.5."
2020-08-01,August,2020,Clothing and Footwear,93.5,"On August 2020, the Core CPI for Clothing and Footwear was 93.5."
2020-09-01,September,2020,Clothing and Footwear,93.5,"On September 2020, the Core CPI for Clothing and Footwear was 93.5."
2020-10-01,October,2020,Clothing and Footwear,93.4,"On October 2020, the Core CPI for Clothing and Footwear was 93.4."
2020-11-01,November,2020,Clothing and Footwear,93.4,"On November 2020, the Core CPI for Clothing and Footwear was 93.4."
2020-12-01,December,2020,Clothing and Footwear,93.4,"On December 2020, the Core CPI for Clothing and Footwear was 93.4."
2021-01-01,January,2021,Clothing and Footwear,93.3,"On January 2021, the Core CPI for Clothing and Footwear was 93.3."
2021-02-01,February,2021,Clothing and Footwear,93.3,"On February 2021, the Core CPI for Clothing and Footwear was 93.3."
2021-03-01,March,2021,Clothing and Footwear,93.3,"On March 2021, the Core CPI for Clothing and Footwear was 93.3."
2021-04-01,April,2021,Clothing and Footwear,93.2,"On April 2021, the Core CPI for Clothing and Footwear was 93.2."
2021-05-01,May,2021,Clothing and Footwear,93.1,"On May 2021, the Core CPI for Clothing and Footwear was 93.1."
2021-06-01,June,2021,Clothing and Footwear,93.1,"On June 2021, the Core CPI for Clothing and Footwear was 93.1."
2021-07-01,July,2021,Clothing and Footwear,93.1,"On July 2021, the Core CPI for Clothing and Footwear was 93.1."
2021-08-01,August,2021,Clothing and Footwear,93.1,"On August 2021, the Core CPI for Clothing and Footwear was 93.1."
2021-09-01,September,2021,Clothing and Footwear,93.0,"On September 2021, the Core CPI for Clothing and Footwear was 93.0."
2021-10-01,October,2021,Clothing and Footwear,93.0,"On October 2021, the Core CPI for Clothing and Footwear was 93.0."
2021-11-01,November,2021,Clothing and Footwear,92.9,"On November 2021, the Core CPI for Clothing and Footwear was 92.9."
2021-12-01,December,2021,Clothing and Footwear,93.0,"On December 2021, the Core CPI for Clothing and Footwear was 93.0."
2022-01-01,January,2022,Clothing and Footwear,93.0,"On January 2022, the Core CPI for Clothing and Footwear was 93.0."
2022-02-01,February,2022,Clothing and Footwear,93.1,"On February 2022, the Core CPI for Clothing and Footwear was 93.1."
2022-03-01,March,2022,Clothing and Footwear,93.0,"On March 2022, the Core CPI for Clothing and Footwear was 93.0."
2022-04-01,April,2022,Clothing and Footwear,93.0,"On April 2022, the Core CPI for Clothing and Footwear was 93.0."
2022-05-01,May,2022,Clothing and Footwear,93.1,"On May 2022, the Core CPI for Clothing and Footwear was 93.1."
2022-06-01,June,2022,Clothing and Footwear,93.3,"On June 2022, the Core CPI for Clothing and Footwear was 93.3."
2022-07-01,July,2022,Clothing and Footwear,93.4,"On July 2022, the Core CPI for Clothing and Footwear was 93.4."
2022-08-01,August,2022,Clothing and Footwear,93.4,"On August 2022, the Core CPI for Clothing and Footwear was 93.4."
2022-09-01,September,2022,Clothing and Footwear,93.4,"On September 2022, the Core CPI for Clothing and Footwear was 93.4."
2022-10-01,October,2022,Clothing and Footwear,93.4,"On October 2022, the Core CPI for Clothing and Footwear was 93.4."
2022-11-01,November,2022,Clothing and Footwear,93.4,"On November 2022, the Core CPI for Clothing and Footwear was 93.4."
2022-12-01,December,2022,Clothing and Footwear,93.4,"On December 2022, the Core CPI for Clothing and Footwear was 93.4."
2023-01-01,January,2023,Clothing and Footwear,93.5,"On January 2023, the Core CPI for Clothing and Footwear was 93.5."
2023-02-01,February,2023,Clothing and Footwear,93.5,"On February 2023, the Core CPI for Clothing and Footwear was 93.5."
2023-03-01,March,2023,Clothing and Footwear,93.5,"On March 2023, the Core CPI for Clothing and Footwear was 93.5."
2023-04-01,April,2023,Clothing and Footwear,93.5,"On April 2023, the Core CPI for Clothing and Footwear was 93.5."
2023-05-01,May,2023,Clothing and Footwear,93.5,"On May 2023, the Core CPI for Clothing and Footwear was 93.5."
2023-06-01,June,2023,Clothing and Footwear,93.4,"On June 2023, the Core CPI for Clothing and Footwear was 93.4."
2023-07-01,July,2023,Clothing and Footwear,93.5,"On July 2023, the Core CPI for Clothing and Footwear was 93.5."
2023-08-01,August,2023,Clothing and Footwear,93.4,"On August 2023, the Core CPI for Clothing and Footwear was 93.4."
2023-09-01,September,2023,Clothing and Footwear,93.5,"On September 2023, the Core CPI for Clothing and Footwear was 93.5."
2023-10-01,October,2023,Clothing and Footwear,93.4,"On October 2023, the Core CPI for Clothing and Footwear was 93.4."
2023-11-01,November,2023,Clothing and Footwear,93.4,"On November 2023, the Core CPI for Clothing and Footwear was 93.4."
2023-12-01,December,2023,Clothing and Footwear,93.4,"On December 2023, the Core CPI for Clothing and Footwear was 93.4."
2024-01-01,January,2024,Clothing and Footwear,93.3,"On January 2024, the Core CPI for Clothing and Footwear was 93.3."
2024-02-01,February,2024,Clothing and Footwear,93.3,"On February 2024, the Core CPI for Clothing and Footwear was 93.3."
2024-03-01,March,2024,Clothing and Footwear,93.3,"On March 2024, the Core CPI for Clothing and Footwear was 93.3."
2024-04-01,April,2024,Clothing and Footwear,93.2,"On April 2024, the Core CPI for Clothing and Footwear was 93.2."
2024-05-01,May,2024,Clothing and Footwear,93.3,"On May 2024, the Core CPI for Clothing and Footwear was 93.3."
2024-06-01,June,2024,Clothing and Footwear,93.3,"On June 2024, the Core CPI for Clothing and Footwear was 93.3."
2024-07-01,July,2024,Clothing and Footwear,93.3,"On July 2024, the Core CPI for Clothing and Footwear was 93.3."
2024-08-01,August,2024,Clothing and Footwear,93.2,"On August 2024, the Core CPI for Clothing and Footwear was 93.2."
2024-09-01,September,2024,Clothing and Footwear,93.2,"On September 2024, the Core CPI for Clothing and Footwear was 93.2."
2024-10-01,October,2024,Clothing and Footwear,93.2,"On October 2024, the Core CPI for Clothing and Footwear was 93.2."
2024-11-01,November,2024,Clothing and Footwear,93.1,"On November 2024, the Core CPI for Clothing and Footwear was 93.1."
2024-12-01,December,2024,Clothing and Footwear,92.9,"On December 2024, the Core CPI for Clothing and Footwear was 92.9."
2025-01-01,January,2025,Clothing and Footwear,93.0,"On January 2025, the Core CPI for Clothing and Footwear was 93.0."
2025-02-01,February,2025,Clothing and Footwear,93.1,"On February 2025, the Core CPI for Clothing and Footwear was 93.1."
2025-03-01,March,2025,Clothing and Footwear,93.1,"On March 2025, the Core CPI for Clothing and Footwear was 93.1."
2025-04-01,April,2025,Clothing and Footwear,93.1,"On April 2025, the Core CPI for Clothing and Footwear was 93.1."
2025-05-01,May,2025,Clothing and Footwear,93.1,"On May 2025, the Core CPI for Clothing and Footwear was 93.1."
2025-06-01,June,2025,Clothing and Footwear,93.0,"On June 2025, the Core CPI for Clothing and Footwear was 93.0."
2025-07-01,July,2025,Clothing and Footwear,93.1,"On July 2025, the Core CPI for Clothing and Footwear was 93.1."
2025-08-01,August,2025,Clothing and Footwear,93.1,"On August 2025, the Core CPI for Clothing and Footwear was 93.1."
2018-01-01,January,2018,"Housing, Utilities, Gas & Other Fuels",120.7,"On January 2018, the Core CPI for Housing, Utilities, Gas & Other Fuels was 120.7."
2018-02-01,February,2018,"Housing, Utilities, Gas & Other Fuels",121.5,"On February 2018, the Core CPI for Housing, Utilities, Gas & Other Fuels was 121.5."
2018-03-01,March,2018,"Housing, Utilities, Gas & Other Fuels",121.5,"On March 2018, the Core CPI for Housing, Utilities, Gas & Other Fuels was 121.5."
2018-04-01,April,2018,"Housing, Utilities, Gas & Other Fuels",121.5,"On April 2018, the Core CPI for Housing, Utilities, Gas & Other Fuels was 121.5."
2018-05-01,May,2018,"Housing, Utilities, Gas & Other Fuels",122.3,"On May 2018, the Core CPI for Housing, Utilities, Gas & Other Fuels was 122.3."
2018-06-01,June,2018,"Housing, Utilities, Gas & Other Fuels",122.2,"On June 2018, the Core CPI for Housing, Utilities, Gas & Other Fuels was 122.2."
2018-07-01,July,2018,"Housing, Utilities, Gas & Other Fuels",122.2,"On July 2018, the Core CPI for Housing, Utilities, Gas & Other Fuels was 122.2."
2018-08-01,August,2018,"Housing, Utilities, Gas & Other Fuels",123.1,"On August 2018, the Core CPI for Housing, Utilities, Gas & Other Fuels was 123.1."
2018-09-01,September,2018,"Housing, Utilities, Gas & Other Fuels",123.1,"On September 2018, the Core CPI for Housing, Utilities, Gas & Other Fuels was 123.1."
2018-10-01,October,2018,"Housing, Utilities, Gas & Other Fuels",123.1,"On October 2018, the Core CPI for Housing, Utilities, Gas & Other Fuels was 123.1."
2018-11-01,November,2018,"Housing, Utilities, Gas & Other Fuels",123.5,"On November 2018, the Core CPI for Housing, Utilities, Gas & Other Fuels was 123.5."
2018-12-01,December,2018,"Housing, Utilities, Gas & Other Fuels",123.5,"On December 2018, the Core CPI for Housing, Utilities, Gas & Other Fuels was 123.5."
2019-01-01,January,2019,"Housing, Utilities, Gas & Other Fuels",123.5,"On January 2019, the Core CPI for Housing, Utilities, Gas & Other Fuels was 123.5."
2019-02-01,February,2019,"Housing, Utilities, Gas & Other Fuels",124.3,"On February 2019, the Core CPI for Housing, Utilities, Gas & Other Fuels was 124.3."
2019-03-01,March,2019,"Housing, Utilities, Gas & Other Fuels",124.3,"On March 2019, the Core CPI for Housing, Utilities, Gas & Other Fuels was 124.3."
2019-04-01,April,2019,"Housing, Utilities, Gas & Other Fuels",124.3,"On April 2019, the Core CPI for Housing, Utilities, Gas & Other Fuels was 124.3."
2019-05-01,May,2019,"Housing, Utilities, Gas & Other Fuels",124.7,"On May 2019, the Core CPI for Housing, Utilities, Gas & Other Fuels was 124.7."
2019-06-01,June,2019,"Housing, Utilities, Gas & Other Fuels",124.7,"On June 2019, the Core CPI for Housing, Utilities, Gas & Other Fuels was 124.7."
2019-07-01,July,2019,"Housing, Utilities, Gas & Other Fuels",124.8,"On July 2019, the Core CPI for Housing, Utilities, Gas & Other Fuels was 124.8."
2019-08-01,August,2019,"Housing, Utilities, Gas & Other Fuels",125.5,"On August 2019, the Core CPI for Housing, Utilities, Gas & Other Fuels was 125.5."
2019-09-01,September,2019,"Housing, Utilities, Gas & Other Fuels",125.5,"On September 2019, the Core CPI for Housing, Utilities, Gas & Other Fuels was 125.5."
2019-10-01,October,2019,"Housing, Utilities, Gas & Other Fuels",125.6,"On October 2019, the Core CPI for Housing, Utilities, Gas & Other Fuels was 125.6."
2019-11-01,November,2019,"Housing, Utilities, Gas & Other Fuels",126.1,"On November 2019, the Core CPI for Housing, Utilities, Gas & Other Fuels was 126.1."
2019-12-01,December,2019,"Housing, Utilities, Gas & Other Fuels",126.1,"On December 2019, the Core CPI for Housing, Utilities, Gas & Other Fuels was 126.1."
2020-01-01,January,2020,"Housing, Utilities, Gas & Other Fuels",126.2,"On January 2020, the Core CPI for Housing, Utilities, Gas & Other Fuels was 126.2."
2020-02-01,February,2020,"Housing, Utilities, Gas & Other Fuels",126.7,"On February 2020, the Core CPI for Housing, Utilities, Gas & Other Fuels was 126.7."
2020-03-01,March,2020,"Housing, Utilities, Gas & Other Fuels",126.7,"On March 2020, the Core CPI for Housing, Utilities, Gas & Other Fuels was 126.7."
2020-04-01,April,2020,"Housing, Utilities, Gas & Other Fuels",126.7,"On April 2020, the Core CPI for Housing, Utilities, Gas & Other Fuels was 126.7."
2020-05-01,May,2020,"Housing, Utilities, Gas & Other Fuels",126.5,"On May 2020, the Core CPI for Housing, Utilities, Gas & Other Fuels was 126.5."
2020-06-01,June,2020,"Housing, Utilities, Gas & Other Fuels",126.5,"On June 2020, the Core CPI for Housing, Utilities, Gas & Other Fuels was 126.5."
2020-07-01,July,2020,"Housing, Utilities, Gas & Other Fuels",126.5,"On July 2020, the Core CPI for Housing, Utilities, Gas & Other Fuels was 126.5."
2020-08-01,August,2020,"Housing, Utilities, Gas & Other Fuels",126.7,"On August 2020, the Core CPI for Housing, Utilities, Gas & Other Fuels was 126.7."
2020-09-01,September,2020,"Housing, Utilities, Gas & Other Fuels",126.7,"On September 2020, the Core CPI for Housing, Utilities, Gas & Other Fuels was 126.7."
2020-10-01,October,2020,"Housing, Utilities, Gas & Other Fuels",126.7,"On October 2020, the Core CPI for Housing, Utilities, Gas & Other Fuels was 126.7."
2020-11-01,November,2020,"Housing, Utilities, Gas & Other Fuels",126.8,"On November 2020, the Core CPI for Housing, Utilities, Gas & Other Fuels was 126.8."
2020-12-01,December,2020,"Housing, Utilities, Gas & Other Fuels",126.8,"On December 2020, the Core CPI for Housing, Utilities, Gas & Other Fuels was 126.8."
2021-01-01,January,2021,"Housing, Utilities, Gas & Other Fuels",126.8,"On January 2021, the Core CPI for Housing, Utilities, Gas & Other Fuels was 126.8."
2021-02-01,February,2021,"Housing, Utilities, Gas & Other Fuels",127.2,"On February 2021, the Core CPI for Housing, Utilities, Gas & Other Fuels was 127.2."
2021-03-01,March,2021,"Housing, Utilities, Gas & Other Fuels",127.2,"On March 2021, the Core CPI for Housing, Utilities, Gas & Other Fuels was 127.2."
2021-04-01,April,2021,"Housing, Utilities, Gas & Other Fuels",127.2,"On April 2021, the Core CPI for Housing, Utilities, Gas & Other Fuels was 127.2."
2021-05-01,May,2021,"Housing, Utilities, Gas & Other Fuels",127.3,"On May 2021, the Core CPI for Housing, Utilities, Gas & Other Fuels was 127.3."
2021-06-01,June,2021,"Housing, Utilities, Gas & Other Fuels",127.3,"On June 2021, the Core CPI for Housing, Utilities, Gas & Other Fuels was 127.3."
2021-07-01,July,2021,"Housing, Utilities, Gas & Other Fuels",127.3,"On July 2021, the Core CPI for Housing, Utilities, Gas & Other Fuels was 127.3."
2021-08-01,August,2021,"Housing, Utilities, Gas & Other Fuels",127.4,"On August 2021, the Core CPI for Housing, Utilities, Gas & Other Fuels was 127.4."
2021-09-01,September,2021,"Housing, Utilities, Gas & Other Fuels",127.5,"On September 2021, the Core CPI for Housing, Utilities, Gas & Other Fuels was 127.5."
2021-10-01,October,2021,"Housing, Utilities, Gas & Other Fuels",127.5,"On October 2021, the Core CPI for Housing, Utilities, Gas & Other Fuels was 127.5."
2021-11-01,November,2021,"Housing, Utilities, Gas & Other Fuels",127.8,"On November 2021, the Core CPI for Housing, Utilities, Gas & Other Fuels was 127.8."
2021-12-01,December,2021,"Housing, Utilities, Gas & Other Fuels",127.9,"On December 2021, the Core CPI for Housing, Utilities, Gas & Other Fuels was 127.9."
2022-01-01,January,2022,"Housing, Utilities, Gas & Other Fuels",127.9,"On January 2022, the Core CPI for Housing, Utilities, Gas & Other Fuels was 127.9."
2022-02-01,February,2022,"Housing, Utilities, Gas & Other Fuels",128.4,"On February 2022, the Core CPI for Housing, Utilities, Gas & Other Fuels was 128.4."
2022-03-01,March,2022,"Housing, Utilities, Gas & Other Fuels",128.4,"On March 2022, the Core CPI for Housing, Utilities, Gas & Other Fuels was 128.4."
2022-04-01,April,2022,"Housing, Utilities, Gas & Other Fuels",128.5,"On April 2022, the Core CPI for Housing, Utilities, Gas & Other Fuels was 128.5."
2022-05-01,May,2022,"Housing, Utilities, Gas & Other Fuels",129.0,"On May 2022, the Core CPI for Housing, Utilities, Gas & Other Fuels was 129.0."
2022-06-01,June,2022,"Housing, Utilities, Gas & Other Fuels",129.1,"On June 2022, the Core CPI for Housing, Utilities, Gas & Other Fuels was 129.1."
2022-07-01,July,2022,"Housing, Utilities, Gas & Other Fuels",129.1,"On July 2022, the Core CPI for Housing, Utilities, Gas & Other Fuels was 129.1."
2022-08-01,August,2022,"Housing, Utilities, Gas & Other Fuels",129.8,"On August 2022, the Core CPI for Housing, Utilities, Gas & Other Fuels was 129.8."
2022-09-01,September,2022,"Housing, Utilities, Gas & Other Fuels",129.8,"On September 2022, the Core CPI for Housing, Utilities, Gas & Other Fuels was 129.8."
2022-10-01,October,2022,"Housing, Utilities, Gas & Other Fuels",129.8,"On October 2022, the Core CPI for Housing, Utilities, Gas & Other Fuels was 129.8."
2022-11-01,November,2022,"Housing, Utilities, Gas & Other Fuels",130.1,"On November 2022, the Core CPI for Housing, Utilities, Gas & Other Fuels was 130.1."
2022-12-01,December,2022,"Housing, Utilities, Gas & Other Fuels",130.1,"On December 2022, the Core CPI for Housing, Utilities, Gas & Other Fuels was 130.1."
2023-01-01,January,2023,"Housing, Utilities, Gas & Other Fuels",130.1,"On January 2023, the Core CPI for Housing, Utilities, Gas & Other Fuels was 130.1."
2023-02-01,February,2023,"Housing, Utilities, Gas & Other Fuels",130.9,"On February 2023, the Core CPI for Housing, Utilities, Gas & Other Fuels was 130.9."
2023-03-01,March,2023,"Housing, Utilities, Gas & Other Fuels",130.9,"On March 2023, the Core CPI for Housing, Utilities, Gas & Other Fuels was 130.9."
2023-04-01,April,2023,"Housing, Utilities, Gas & Other Fuels",130.9,"On April 2023, the Core CPI for Housing, Utilities, Gas & Other Fuels was 130.9."
2023-05-01,May,2023,"Housing, Utilities, Gas & Other Fuels",131.7,"On May 2023, the Core CPI for Housing, Utilities, Gas & Other Fuels was 131.7."
2023-06-01,June,2023,"Housing, Utilities, Gas & Other Fuels",131.7,"On June 2023, the Core CPI for Housing, Utilities, Gas & Other Fuels was 131.7."
2023-07-01,July,2023,"Housing, Utilities, Gas & Other Fuels",131.7,"On July 2023, the Core CPI for Housing, Utilities, Gas & Other Fuels was 131.7."
2023-08-01,August,2023,"Housing, Utilities, Gas & Other Fuels",132.0,"On August 2023, the Core CPI for Housing, Utilities, Gas & Other Fuels was 132.0."
2023-09-01,September,2023,"Housing, Utilities, Gas & Other Fuels",132.1,"On September 2023, the Core CPI for Housing, Utilities, Gas & Other Fuels was 132.1."
2023-10-01,October,2023,"Housing, Utilities, Gas & Other Fuels",132.1,"On October 2023, the Core CPI for Housing, Utilities, Gas & Other Fuels was 132.1."
2023-11-01,November,2023,"Housing, Utilities, Gas & Other Fuels",132.5,"On November 2023, the Core CPI for Housing, Utilities, Gas & Other Fuels was 132.5."
2023-12-01,December,2023,"Housing, Utilities, Gas & Other Fuels",132.5,"On December 2023, the Core CPI for Housing, Utilities, Gas & Other Fuels was 132.5."
2024-01-01,January,2024,"Housing, Utilities, Gas & Other Fuels",132.5,"On January 2024, the Core CPI for Housing, Utilities, Gas & Other Fuels was 132.5."
2024-02-01,February,2024,"Housing, Utilities, Gas & Other Fuels",132.9,"On February 2024, the Core CPI for Housing, Utilities, Gas & Other Fuels was 132.9."
2024-03-01,March,2024,"Housing, Utilities, Gas & Other Fuels",132.9,"On March 2024, the Core CPI for Housing, Utilities, Gas & Other Fuels was 132.9."
2024-04-01,April,2024,"Housing, Utilities, Gas & Other Fuels",132.9,"On April 2024, the Core CPI for Housing, Utilities, Gas & Other Fuels was 132.9."
2024-05-01,May,2024,"Housing, Utilities, Gas & Other Fuels",133.9,"On May 2024, the Core CPI for Housing, Utilities, Gas & Other Fuels was 133.9."
2024-06-01,June,2024,"Housing, Utilities, Gas & Other Fuels",133.9,"On June 2024, the Core CPI for Housing, Utilities, Gas & Other Fuels was 133.9."
2024-07-01,July,2024,"Housing, Utilities, Gas & Other Fuels",133.9,"On July 2024, the Core CPI for Housing, Utilities, Gas & Other Fuels was 133.9."
2024-08-01,August,2024,"Housing, Utilities, Gas & Other Fuels",134.2,"On August 2024, the Core CPI for Housing, Utilities, Gas & Other Fuels was 134.2."
2024-09-01,September,2024,"Housing, Utilities, Gas & Other Fuels",134.2,"On September 2024, the Core CPI for Housing, Utilities, Gas & Other Fuels was 134.2."
2024-10-01,October,2024,"Housing, Utilities, Gas & Other Fuels",134.2,"On October 2024, the Core CPI for Housing, Utilities, Gas & Other Fuels was 134.2."
2024-11-01,November,2024,"Housing, Utilities, Gas & Other Fuels",134.7,"On November 2024, the Core CPI for Housing, Utilities, Gas & Other Fuels was 134.7."
2024-12-01,December,2024,"Housing, Utilities, Gas & Other Fuels",134.7,"On December 2024, the Core CPI for Housing, Utilities, Gas & Other Fuels was 134.7."
2025-01-01,January,2025,"Housing, Utilities, Gas & Other Fuels",134.9,"On January 2025, the Core CPI for Housing, Utilities, Gas & Other Fuels was 134.9."
2025-02-01,February,2025,"Housing, Utilities, Gas & Other Fuels",136.0,"On February 2025, the Core CPI for Housing, Utilities, Gas & Other Fuels was 136.0."
2025-03-01,March,2025,"Housing, Utilities, Gas & Other Fuels",136.0,"On March 2025, the Core CPI for Housing, Utilities, Gas & Other Fuels was 136.0."
2025-04-01,April,2025,"Housing, Utilities, Gas & Other Fuels",136.1,"On April 2025, the Core CPI for Housing, Utilities, Gas & Other Fuels was 136.1."
2025-05-01,May,2025,"Housing, Utilities, Gas & Other Fuels",136.7,"On May 2025, the Core CPI for Housing, Utilities, Gas & Other Fuels was 136.7."
2025-06-01,June,2025,"Housing, Utilities, Gas & Other Fuels",136.7,"On June 2025, the Core CPI for Housing, Utilities, Gas & Other Fuels was 136.7."
2025-07-01,July,2025,"Housing, Utilities, Gas & Other Fuels",136.7,"On July 2025, the Core CPI for Housing, Utilities, Gas & Other Fuels was 136.7."
2025-08-01,August,2025,"Housing, Utilities, Gas & Other Fuels",137.1,"On August 2025, the Core CPI for Housing, Utilities, Gas & Other Fuels was 137.1."
2018-01-01,January,2018,"Household Furnishings, Equipment & Maintenance",115.8,"On January 2018, the Core CPI for Household Furnishings, Equipment & Maintenance was 115.8."
2018-02-01,February,2018,"Household Furnishings, Equipment & Maintenance",115.7,"On February 2018, the Core CPI for Household Furnishings, Equipment & Maintenance was 115.7."
2018-03-01,March,2018,"Household Furnishings, Equipment & Maintenance",115.8,"On March 2018, the Core CPI for Household Furnishings, Equipment & Maintenance was 115.8."
2018-04-01,April,2018,"Household Furnishings, Equipment & Maintenance",115.9,"On April 2018, the Core CPI for Household Furnishings, Equipment & Maintenance was 115.9."
2018-05-01,May,2018,"Household Furnishings, Equipment & Maintenance",115.9,"On May 2018, the Core CPI for Household Furnishings, Equipment & Maintenance was 115.9."
2018-06-01,June,2018,"Household Furnishings, Equipment & Maintenance",113.1,"On June 2018, the Core CPI for Household Furnishings, Equipment & Maintenance was 113.1."
2018-07-01,July,2018,"Household Furnishings, Equipment & Maintenance",113.1,"On July 2018, the Core CPI for Household Furnishings, Equipment & Maintenance was 113.1."
2018-08-01,August,2018,"Household Furnishings, Equipment & Maintenance",113.2,"On August 2018, the Core CPI for Household Furnishings, Equipment & Maintenance was 113.2."
2018-09-01,September,2018,"Household Furnishings, Equipment & Maintenance",114.3,"On September 2018, the Core CPI for Household Furnishings, Equipment & Maintenance was 114.3."
2018-10-01,October,2018,"Household Furnishings, Equipment & Maintenance",114.8,"On October 2018, the Core CPI for Household Furnishings, Equipment & Maintenance was 114.8."
2018-11-01,November,2018,"Household Furnishings, Equipment & Maintenance",115.1,"On November 2018, the Core CPI for Household Furnishings, Equipment & Maintenance was 115.1."
